"Plot Title: 20827226"
"#","Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 20827226, SEN S/N: 20827226)","Temp, °C (LGR S/N: 20827226, SEN S/N: 20827226)","Coupler Detached (LGR S/N: 20827226)","Coupler Attached (LGR S/N: 20827226)","Host Connected (LGR S/N: 20827226)","Stopped (LGR S/N: 20827226)","End Of File (LGR S/N: 20827226)"
105,21/11/22 04:07:44  PM,8.86,20.38,,,,,
106,21/11/22 04:22:44  PM,8.85,20.42,,,,,
107,21/11/22 04:37:44  PM,8.85,20.36,,,,,
108,21/11/22 04:52:44  PM,8.85,20.40,,,,,
109,21/11/22 05:07:44  PM,8.83,20.46,,,,,
110,21/11/22 05:22:44  PM,8.83,20.44,,,,,
111,21/11/22 05:37:44  PM,8.82,20.40,,,,,
112,21/11/22 05:52:44  PM,8.48,20.48,,,,,
113,21/11/22 06:07:44  PM,8.80,20.48,,,,,
114,21/11/22 06:22:44  PM,8.77,20.44,,,,,
115,21/11/22 06:37:44  PM,8.63,20.44,,,,,
116,21/11/22 06:52:44  PM,6.72,20.36,,,,,
117,21/11/22 07:07:44  PM,7.47,20.16,,,,,
118,21/11/22 07:22:44  PM,7.25,20.12,,,,,
119,21/11/22 07:37:44  PM,6.74,20.10,,,,,
120,21/11/22 07:52:44  PM,6.44,20.10,,,,,
121,21/11/22 08:07:44  PM,5.93,20.12,,,,,
122,21/11/22 08:22:44  PM,5.65,20.14,,,,,
123,21/11/22 08:37:44  PM,5.20,20.10,,,,,
124,21/11/22 08:52:44  PM,5.28,20.18,,,,,
125,21/11/22 09:07:44  PM,5.26,20.18,,,,,
126,21/11/22 09:22:44  PM,3.75,20.16,,,,,
127,21/11/22 09:37:44  PM,3.81,20.12,,,,,
128,21/11/22 09:52:44  PM,3.55,20.14,,,,,
129,21/11/22 10:07:44  PM,3.53,20.14,,,,,
130,21/11/22 10:22:44  PM,3.63,20.12,,,,,
131,21/11/22 10:37:44  PM,2.56,20.14,,,,,
132,21/11/22 10:52:44  PM,2.49,20.16,,,,,
133,21/11/22 11:07:44  PM,2.57,20.12,,,,,
134,21/11/22 11:22:44  PM,2.90,20.18,,,,,
135,21/11/22 11:37:44  PM,2.97,20.18,,,,,
136,21/11/22 11:52:44  PM,2.56,20.22,,,,,
137,21/11/23 12:07:44  AM,2.81,20.28,,,,,
138,21/11/23 12:22:44  AM,2.74,20.32,,,,,
139,21/11/23 12:37:44  AM,2.68,20.32,,,,,
140,21/11/23 12:52:44  AM,2.76,20.36,,,,,
141,21/11/23 01:07:44  AM,2.68,20.38,,,,,
142,21/11/23 01:22:44  AM,2.47,20.38,,,,,
143,21/11/23 01:37:44  AM,2.48,20.40,,,,,
144,21/11/23 01:52:44  AM,2.33,20.40,,,,,
145,21/11/23 02:07:44  AM,2.21,20.46,,,,,
146,21/11/23 02:22:44  AM,1.99,20.44,,,,,
147,21/11/23 02:37:44  AM,2.10,20.50,,,,,
148,21/11/23 02:52:44  AM,1.96,20.50,,,,,
149,21/11/23 03:07:44  AM,1.89,20.50,,,,,
150,21/11/23 03:22:44  AM,1.72,20.50,,,,,
151,21/11/23 03:37:44  AM,1.64,20.50,,,,,
152,21/11/23 03:52:44  AM,1.75,20.44,,,,,
153,21/11/23 04:07:44  AM,2.21,20.46,,,,,
154,21/11/23 04:22:44  AM,2.28,20.48,,,,,
155,21/11/23 04:37:44  AM,1.75,20.42,,,,,
156,21/11/23 04:52:44  AM,2.80,20.46,,,,,
157,21/11/23 05:07:44  AM,2.40,20.50,,,,,
158,21/11/23 05:22:44  AM,2.37,20.54,,,,,
159,21/11/23 05:37:44  AM,2.48,20.60,,,,,
160,21/11/23 05:52:44  AM,1.96,20.68,,,,,
161,21/11/23 06:07:44  AM,1.72,20.66,,,,,
162,21/11/23 06:22:44  AM,1.50,20.60,,,,,
163,21/11/23 06:37:44  AM,1.94,20.66,,,,,
164,21/11/23 06:52:44  AM,1.83,20.60,,,,,
165,21/11/23 07:07:44  AM,2.47,20.62,,,,,
166,21/11/23 07:22:44  AM,2.55,20.64,,,,,
167,21/11/23 07:37:44  AM,2.40,20.62,,,,,
168,21/11/23 07:52:44  AM,4.34,20.60,,,,,
169,21/11/23 08:07:44  AM,5.14,20.62,,,,,
170,21/11/23 08:22:44  AM,5.62,20.60,,,,,
171,21/11/23 08:37:44  AM,6.13,20.64,,,,,
172,21/11/23 08:52:44  AM,6.27,20.60,,,,,
173,21/11/23 09:07:44  AM,5.81,20.60,,,,,
174,21/11/23 09:22:44  AM,5.63,20.64,,,,,
175,21/11/23 09:37:44  AM,5.44,20.60,,,,,
176,21/11/23 09:52:44  AM,4.44,20.60,,,,,
177,21/11/23 10:07:44  AM,5.29,20.64,,,,,
178,21/11/23 10:22:44  AM,5.10,20.64,,,,,
179,21/11/23 10:37:44  AM,5.83,20.70,,,,,
180,21/11/23 10:52:44  AM,2.91,20.74,,,,,
181,21/11/23 11:07:44  AM,3.45,20.74,,,,,
182,21/11/23 11:22:44  AM,3.81,20.68,,,,,
183,21/11/23 11:37:44  AM,4.19,20.56,,,,,
184,21/11/23 11:52:44  AM,3.93,20.56,,,,,
185,21/11/23 12:07:44  PM,4.30,20.50,,,,,
186,21/11/23 12:22:44  PM,3.47,20.44,,,,,
187,21/11/23 12:37:44  PM,2.94,20.36,,,,,
188,21/11/23 12:52:44  PM,3.73,20.34,,,,,
189,21/11/23 01:07:44  PM,3.33,20.30,,,,,
190,21/11/23 01:22:44  PM,3.73,20.30,,,,,
191,21/11/23 01:37:44  PM,4.12,20.26,,,,,
192,21/11/23 01:52:44  PM,5.29,20.20,,,,,
193,21/11/23 02:07:44  PM,4.40,20.18,,,,,
194,21/11/23 02:22:44  PM,4.55,20.22,,,,,
195,21/11/23 02:37:44  PM,4.55,20.22,,,,,
196,21/11/23 02:52:44  PM,4.14,20.14,,,,,
197,21/11/23 03:07:44  PM,4.76,20.24,,,,,
198,21/11/23 03:22:44  PM,5.14,20.24,,,,,
199,21/11/23 03:37:44  PM,4.79,20.22,,,,,
200,21/11/23 03:52:44  PM,5.28,20.26,,,,,
201,21/11/23 04:07:44  PM,4.77,20.16,,,,,
202,21/11/23 04:22:44  PM,4.56,20.18,,,,,
203,21/11/23 04:37:44  PM,4.37,20.12,,,,,
204,21/11/23 04:52:44  PM,4.20,20.08,,,,,
205,21/11/23 05:07:44  PM,6.06,20.10,,,,,
206,21/11/23 05:22:44  PM,6.00,20.00,,,,,
207,21/11/23 05:37:44  PM,6.16,20.02,,,,,
208,21/11/23 05:52:44  PM,6.72,20.04,,,,,
209,21/11/23 06:07:44  PM,6.70,20.04,,,,,
210,21/11/23 06:22:44  PM,6.35,20.06,,,,,
211,21/11/23 06:37:44  PM,6.86,19.98,,,,,
212,21/11/23 06:52:44  PM,6.62,19.96,,,,,
213,21/11/23 07:07:44  PM,6.61,19.96,,,,,
214,21/11/23 07:22:44  PM,6.49,19.94,,,,,
215,21/11/23 07:37:44  PM,6.23,19.94,,,,,
216,21/11/23 07:52:44  PM,6.08,19.92,,,,,
217,21/11/23 08:07:44  PM,6.38,19.94,,,,,
218,21/11/23 08:22:44  PM,6.39,20.10,,,,,
219,21/11/23 08:37:44  PM,4.75,20.16,,,,,
220,21/11/23 08:52:44  PM,4.10,20.12,,,,,
221,21/11/23 09:07:44  PM,4.44,20.24,,,,,
222,21/11/23 09:22:44  PM,4.80,20.16,,,,,
223,21/11/23 09:37:44  PM,4.72,20.16,,,,,
224,21/11/23 09:52:44  PM,4.91,20.18,,,,,
225,21/11/23 10:07:44  PM,4.97,20.16,,,,,
226,21/11/23 10:22:44  PM,4.81,19.98,,,,,
227,21/11/23 10:37:44  PM,6.24,19.98,,,,,
228,21/11/23 10:52:44  PM,6.18,19.98,,,,,
229,21/11/23 11:07:44  PM,6.65,20.00,,,,,
230,21/11/23 11:22:44  PM,7.02,20.00,,,,,
231,21/11/23 11:37:44  PM,7.11,20.00,,,,,
232,21/11/23 11:52:44  PM,7.05,20.02,,,,,
233,21/11/24 12:07:44  AM,6.92,20.02,,,,,
234,21/11/24 12:22:44  AM,6.98,20.02,,,,,
235,21/11/24 12:37:44  AM,7.00,20.00,,,,,
236,21/11/24 12:52:44  AM,6.83,20.00,,,,,
237,21/11/24 01:07:44  AM,6.89,20.00,,,,,
238,21/11/24 01:22:44  AM,6.79,20.00,,,,,
239,21/11/24 01:37:44  AM,6.86,20.00,,,,,
240,21/11/24 01:52:44  AM,6.93,20.00,,,,,
241,21/11/24 02:07:44  AM,6.60,19.98,,,,,
242,21/11/24 02:22:44  AM,6.84,19.98,,,,,
243,21/11/24 02:37:44  AM,6.64,19.96,,,,,
244,21/11/24 02:52:44  AM,6.73,19.96,,,,,
245,21/11/24 03:07:44  AM,6.54,19.96,,,,,
246,21/11/24 03:22:44  AM,6.58,19.96,,,,,
247,21/11/24 03:37:44  AM,6.67,19.94,,,,,
248,21/11/24 03:52:44  AM,6.79,19.94,,,,,
249,21/11/24 04:07:44  AM,6.60,19.94,,,,,
250,21/11/24 04:22:44  AM,6.89,19.92,,,,,
251,21/11/24 04:37:44  AM,6.71,19.94,,,,,
252,21/11/24 04:52:44  AM,6.67,19.92,,,,,
253,21/11/24 05:07:44  AM,6.63,19.92,,,,,
254,21/11/24 05:22:44  AM,6.67,19.92,,,,,
255,21/11/24 05:37:44  AM,6.73,19.92,,,,,
256,21/11/24 05:52:44  AM,6.83,19.92,,,,,
257,21/11/24 06:07:44  AM,6.65,19.90,,,,,
258,21/11/24 06:22:44  AM,6.76,19.88,,,,,
259,21/11/24 06:37:44  AM,6.49,19.88,,,,,
260,21/11/24 06:52:44  AM,6.63,19.88,,,,,
261,21/11/24 07:07:44  AM,6.58,19.86,,,,,
262,21/11/24 07:22:44  AM,6.58,19.86,,,,,
263,21/11/24 07:37:44  AM,6.50,19.86,,,,,
264,21/11/24 07:52:44  AM,6.63,19.84,,,,,
265,21/11/24 08:07:44  AM,6.75,19.84,,,,,
266,21/11/24 08:22:44  AM,6.90,19.84,,,,,
267,21/11/24 08:37:44  AM,6.89,19.84,,,,,
268,21/11/24 08:52:44  AM,6.75,19.84,,,,,
269,21/11/24 09:07:44  AM,6.89,19.84,,,,,
270,21/11/24 09:22:44  AM,6.96,19.82,,,,,
271,21/11/24 09:37:44  AM,6.81,19.80,,,,,
272,21/11/24 09:52:44  AM,6.91,19.80,,,,,
273,21/11/24 10:07:44  AM,6.67,19.80,,,,,
274,21/11/24 10:22:44  AM,7.01,19.82,,,,,
275,21/11/24 10:37:44  AM,6.84,19.84,,,,,
276,21/11/24 10:52:44  AM,6.85,19.78,,,,,
277,21/11/24 11:07:44  AM,7.46,19.86,,,,,
278,21/11/24 11:22:44  AM,7.36,19.90,,,,,
279,21/11/24 11:37:44  AM,7.59,19.94,,,,,
280,21/11/24 11:52:44  AM,7.67,20.00,,,,,
281,21/11/24 12:07:44  PM,7.83,19.98,,,,,
282,21/11/24 12:22:44  PM,7.18,19.88,,,,,
283,21/11/24 12:37:44  PM,6.74,19.76,,,,,
284,21/11/24 12:52:44  PM,6.57,19.82,,,,,
285,21/11/24 01:07:44  PM,6.51,19.80,,,,,
286,21/11/24 01:22:44  PM,6.60,19.68,,,,,
287,21/11/24 01:37:44  PM,7.15,19.68,,,,,
288,21/11/24 01:52:44  PM,7.53,19.68,,,,,
289,21/11/24 02:07:44  PM,7.78,19.72,,,,,
290,21/11/24 02:22:44  PM,7.53,19.68,,,,,
291,21/11/24 02:37:44  PM,7.54,19.68,,,,,
292,21/11/24 02:52:44  PM,7.88,19.70,,,,,
293,21/11/24 03:07:44  PM,7.89,19.72,,,,,
294,21/11/24 03:22:44  PM,7.95,19.70,,,,,
295,21/11/24 03:37:44  PM,7.92,19.72,,,,,
296,21/11/24 03:52:44  PM,7.88,19.70,,,,,
297,21/11/24 04:07:44  PM,7.77,19.70,,,,,
298,21/11/24 04:22:44  PM,7.90,19.70,,,,,
299,21/11/24 04:37:44  PM,7.95,19.70,,,,,
300,21/11/24 04:52:44  PM,7.78,19.72,,,,,
301,21/11/24 05:07:44  PM,7.68,19.74,,,,,
302,21/11/24 05:22:44  PM,7.69,19.74,,,,,
303,21/11/24 05:37:44  PM,7.99,19.70,,,,,
304,21/11/24 05:52:44  PM,7.91,19.70,,,,,
305,21/11/24 06:07:44  PM,7.88,19.70,,,,,
306,21/11/24 06:22:44  PM,8.03,19.72,,,,,
307,21/11/24 06:37:44  PM,8.00,19.74,,,,,
308,21/11/24 06:52:44  PM,7.84,19.68,,,,,
309,21/11/24 07:07:44  PM,8.13,19.68,,,,,
310,21/11/24 07:22:44  PM,8.78,19.92,,,,,
311,21/11/24 07:37:44  PM,8.86,20.68,,,,,
312,21/11/24 07:52:44  PM,8.74,21.20,,,,,
313,21/11/24 08:07:44  PM,8.68,21.52,,,,,
314,21/11/24 08:22:44  PM,8.68,21.74,,,,,
315,21/11/24 08:37:44  PM,8.57,21.88,,,,,
316,21/11/24 08:52:44  PM,8.57,21.96,,,,,
317,21/11/24 09:07:44  PM,8.56,22.00,,,,,
318,21/11/24 09:22:44  PM,8.59,22.02,,,,,
319,21/11/24 09:37:44  PM,8.54,22.02,,,,,
320,21/11/24 09:52:44  PM,8.55,22.06,,,,,
321,21/11/24 10:07:44  PM,8.55,22.10,,,,,
322,21/11/24 10:22:44  PM,8.52,22.12,,,,,
323,21/11/24 10:37:44  PM,8.49,22.16,,,,,
324,21/11/24 10:52:44  PM,8.50,22.18,,,,,
325,21/11/24 11:07:44  PM,8.50,22.22,,,,,
326,21/11/24 11:22:44  PM,8.50,22.24,,,,,
327,21/11/24 11:37:44  PM,8.50,22.26,,,,,
328,21/11/24 11:52:44  PM,8.51,22.26,,,,,
329,21/11/25 12:07:44  AM,8.50,22.28,,,,,
330,21/11/25 12:22:44  AM,8.49,22.28,,,,,
331,21/11/25 12:37:44  AM,8.50,22.28,,,,,
332,21/11/25 12:52:44  AM,8.48,22.30,,,,,
333,21/11/25 01:07:44  AM,8.47,22.30,,,,,
334,21/11/25 01:22:44  AM,8.48,22.32,,,,,
335,21/11/25 01:37:44  AM,8.51,22.32,,,,,
336,21/11/25 01:52:44  AM,8.47,22.34,,,,,
337,21/11/25 02:07:44  AM,8.47,22.34,,,,,
338,21/11/25 02:22:44  AM,8.47,22.34,,,,,
339,21/11/25 02:37:44  AM,8.48,22.36,,,,,
340,21/11/25 02:52:44  AM,8.48,22.36,,,,,
341,21/11/25 03:07:44  AM,8.47,22.36,,,,,
342,21/11/25 03:22:44  AM,8.48,22.36,,,,,
343,21/11/25 03:37:44  AM,8.47,22.38,,,,,
344,21/11/25 03:52:44  AM,8.47,22.38,,,,,
345,21/11/25 04:07:44  AM,8.47,22.38,,,,,
346,21/11/25 04:22:44  AM,8.47,22.38,,,,,
347,21/11/25 04:37:44  AM,8.46,22.38,,,,,
348,21/11/25 04:52:44  AM,8.46,22.36,,,,,
349,21/11/25 05:07:44  AM,8.46,22.36,,,,,
350,21/11/25 05:22:44  AM,8.46,22.36,,,,,
351,21/11/25 05:37:44  AM,8.47,22.38,,,,,
352,21/11/25 05:52:44  AM,8.46,22.38,,,,,
353,21/11/25 06:07:44  AM,8.45,22.38,,,,,
354,21/11/25 06:22:44  AM,8.47,22.36,,,,,
355,21/11/25 06:37:44  AM,8.47,22.36,,,,,
356,21/11/25 06:52:44  AM,8.47,22.36,,,,,
357,21/11/25 07:07:44  AM,8.47,22.36,,,,,
358,21/11/25 07:22:44  AM,8.47,22.36,,,,,
359,21/11/25 07:37:44  AM,8.50,22.36,,,,,
360,21/11/25 07:52:44  AM,8.52,22.36,,,,,
361,21/11/25 08:07:44  AM,8.54,22.34,,,,,
362,21/11/25 08:22:44  AM,8.55,22.34,,,,,
363,21/11/25 08:37:44  AM,8.56,22.34,,,,,
364,21/11/25 08:52:44  AM,8.59,22.34,,,,,
365,21/11/25 09:07:44  AM,8.58,22.34,,,,,
366,21/11/25 09:22:44  AM,8.57,22.34,,,,,
367,21/11/25 09:37:44  AM,8.64,22.34,,,,,
368,21/11/25 09:52:44  AM,8.76,22.34,,,,,
369,21/11/25 10:07:44  AM,8.79,22.34,,,,,
370,21/11/25 10:22:44  AM,8.82,22.36,,,,,
371,21/11/25 10:37:44  AM,8.87,22.34,,,,,
372,21/11/25 10:52:44  AM,8.89,22.34,,,,,
373,21/11/25 11:07:44  AM,8.89,22.34,,,,,
374,21/11/25 11:22:44  AM,8.88,22.32,,,,,
375,21/11/25 11:37:44  AM,8.88,22.30,,,,,
376,21/11/25 11:52:44  AM,8.88,22.28,,,,,
377,21/11/25 12:07:44  PM,8.88,22.26,,,,,
378,21/11/25 12:22:44  PM,8.90,22.28,,,,,
379,21/11/25 12:37:44  PM,8.88,22.32,,,,,
380,21/11/25 12:52:44  PM,8.87,22.32,,,,,
381,21/11/25 01:07:44  PM,8.88,22.34,,,,,
382,21/11/25 01:22:44  PM,8.86,22.36,,,,,
383,21/11/25 01:37:44  PM,8.86,22.36,,,,,
384,21/11/25 01:52:44  PM,8.86,22.38,,,,,
385,21/11/25 02:07:44  PM,8.85,22.38,,,,,
386,21/11/25 02:22:44  PM,8.85,22.40,,,,,
387,21/11/25 02:37:44  PM,8.84,22.40,,,,,
388,21/11/25 02:52:44  PM,8.84,22.40,,,,,
389,21/11/25 03:07:44  PM,8.84,22.40,,,,,
390,21/11/25 03:22:44  PM,8.82,22.40,,,,,
391,21/11/25 03:37:44  PM,8.82,22.40,,,,,
392,21/11/25 03:52:44  PM,8.82,22.38,,,,,
393,21/11/25 04:07:44  PM,8.82,22.38,,,,,
394,21/11/25 04:22:44  PM,8.81,22.38,,,,,
395,21/11/25 04:37:44  PM,8.81,22.38,,,,,
396,21/11/25 04:52:44  PM,8.81,22.38,,,,,
397,21/11/25 05:07:44  PM,8.81,22.38,,,,,
398,21/11/25 05:22:44  PM,8.80,22.38,,,,,
399,21/11/25 05:37:44  PM,8.80,22.44,,,,,
400,21/11/25 05:52:44  PM,8.78,22.50,,,,,
401,21/11/25 06:07:44  PM,8.78,22.52,,,,,
402,21/11/25 06:22:44  PM,8.76,22.64,,,,,
403,21/11/25 06:37:44  PM,8.68,23.28,,,,,
404,21/11/25 06:52:44  PM,8.68,23.06,,,,,
405,21/11/25 07:07:44  PM,8.70,22.90,,,,,
406,21/11/25 07:22:44  PM,8.72,22.80,,,,,
407,21/11/25 07:37:44  PM,8.73,22.72,,,,,
408,21/11/25 07:52:44  PM,8.74,22.64,,,,,
409,21/11/25 08:07:44  PM,8.75,22.58,,,,,
410,21/11/25 08:22:44  PM,8.76,22.54,,,,,
411,21/11/25 08:37:44  PM,8.76,22.50,,,,,
412,21/11/25 08:52:44  PM,8.78,22.44,,,,,
413,21/11/25 09:07:44  PM,8.78,22.40,,,,,
414,21/11/25 09:22:44  PM,8.79,22.38,,,,,
415,21/11/25 09:37:44  PM,8.79,22.36,,,,,
416,21/11/25 09:52:44  PM,8.79,22.34,,,,,
417,21/11/25 10:07:44  PM,8.79,22.34,,,,,
418,21/11/25 10:22:44  PM,8.79,22.34,,,,,
419,21/11/25 10:37:44  PM,8.79,22.34,,,,,
420,21/11/25 10:52:44  PM,8.80,22.36,,,,,
421,21/11/25 11:07:44  PM,8.79,22.38,,,,,
422,21/11/25 11:22:44  PM,8.78,22.38,,,,,
423,21/11/25 11:37:44  PM,8.77,22.40,,,,,
424,21/11/25 11:52:44  PM,8.78,22.42,,,,,
425,21/11/26 12:07:44  AM,8.77,22.42,,,,,
426,21/11/26 12:22:44  AM,8.77,22.44,,,,,
427,21/11/26 12:37:44  AM,8.76,22.44,,,,,
428,21/11/26 12:52:44  AM,8.76,22.46,,,,,
429,21/11/26 01:07:44  AM,8.76,22.46,,,,,
430,21/11/26 01:22:44  AM,8.75,22.46,,,,,
431,21/11/26 01:37:44  AM,8.75,22.48,,,,,
432,21/11/26 01:52:44  AM,8.75,22.48,,,,,
433,21/11/26 02:07:44  AM,8.76,22.48,,,,,
434,21/11/26 02:22:44  AM,8.75,22.48,,,,,
435,21/11/26 02:37:44  AM,8.75,22.48,,,,,
436,21/11/26 02:52:44  AM,8.74,22.48,,,,,
437,21/11/26 03:07:44  AM,8.74,22.50,,,,,
438,21/11/26 03:22:44  AM,8.73,22.50,,,,,
439,21/11/26 03:37:44  AM,8.72,22.50,,,,,
440,21/11/26 03:52:44  AM,8.72,22.50,,,,,
441,21/11/26 04:07:44  AM,8.72,22.50,,,,,
442,21/11/26 04:22:44  AM,8.73,22.52,,,,,
443,21/11/26 04:37:44  AM,8.73,22.52,,,,,
444,21/11/26 04:52:44  AM,8.73,22.52,,,,,
445,21/11/26 05:07:44  AM,8.73,22.52,,,,,
446,21/11/26 05:22:44  AM,8.72,22.52,,,,,
447,21/11/26 05:37:44  AM,8.72,22.52,,,,,
448,21/11/26 05:52:44  AM,8.73,22.52,,,,,
449,21/11/26 06:07:44  AM,8.72,22.52,,,,,
450,21/11/26 06:22:44  AM,8.73,22.52,,,,,
451,21/11/26 06:37:44  AM,8.74,22.52,,,,,
452,21/11/26 06:52:44  AM,8.74,22.52,,,,,
453,21/11/26 07:07:44  AM,8.73,22.54,,,,,
